SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1377.05,1418.00,1370.60,1403.40,1403.40,1379.05,739,32022,44666271.00,
500003,AEGIS LOGIS ,A ,Q,210.50,212.00,208.00,208.85,208.00,209.70,123,3968,831558.00,
500008,AMAR RAJA BA,A ,Q,688.00,692.80,678.65,681.80,682.50,684.35,1020,47817,32798175.00,
500009,A.SARABHAI  ,X ,Q,15.54,16.00,15.25,15.42,15.50,15.54,113,31276,490097.00,
500010,HDFC        ,A ,Q,2031.90,2047.00,2017.85,2021.15,2021.15,2027.40,2207,37211,75573443.00,
500012,ANDHRA PETRO,X ,Q,55.50,56.10,55.00,55.15,55.25,56.05,149,20337,1126688.00,
500013,ANSAL INFRAS,B ,Q,11.30,11.39,11.10,11.14,11.14,11.20,37,27165,304221.00,
500014,APPLE FINANC,XT,Q,1.78,1.78,1.62,1.62,1.62,1.70,11,2275,3761.00,
500016,ARUNAHTEL   ,XT,Q,7.50,7.50,7.50,7.50,7.50,7.32,2,350,2625.00,
500020,BOM DYEING  ,A ,Q,137.40,137.40,134.50,135.60,135.60,136.15,2138,175760,23831207.00,
500024,ASSAMCO     ,T ,Q,2.15,2.15,2.06,2.09,2.08,2.14,30,31561,65928.00,
500027,ATUL LTD.   ,A ,Q,3520.00,3527.95,3475.00,3508.60,3508.60,3546.25,162,410,1438022.00,
500028,ATV PROJECTS,XT,Q,5.90,6.35,5.84,6.23,5.86,6.05,14,4288,26219.00,
500031,BAJAJ ELECT.,A ,Q,544.00,552.80,539.30,548.60,548.60,548.00,361,6586,3599432.00,
500032,BAJAJHIND   ,B ,Q,9.20,9.28,9.04,9.18,9.18,9.13,111,81193,742097.00,
500033,FORCE MOTR  ,A ,Q,1799.90,1800.00,1765.20,1770.70,1770.70,1796.15,962,11307,20149308.00,
500034,BAJFINANCE  ,A ,Q,3002.75,3053.55,2993.25,3048.80,3048.80,3002.00,2526,51350,155223388.00,
500038,BALRAM.CHINI,A ,Q,137.00,137.50,133.10,133.95,133.95,135.75,1625,157304,21278703.00,
500039,BANCO PROD. ,B ,Q,152.00,153.00,150.55,152.20,152.15,150.85,29,1014,154342.00,
500040,CENTURY TEXT,A ,Q,900.00,912.00,883.00,906.75,912.00,898.80,1227,37883,33976690.00,
500042,BASF INDIA  ,A ,Q,1381.00,1395.00,1373.00,1392.15,1392.15,1397.60,240,1307,1810245.00,
500043,BATA INDIA  ,A ,Q,1385.00,1390.45,1368.50,1383.50,1383.50,1392.10,712,19481,26872075.00,
